"","name","budget","company","country","director","genre","gross","rating","released","runtime","score","star","votes","writer","year","number of reviews"
"1101","How to Deal",1.6e+07,"Focus Features","USA","Clare Kilner","Comedy","14108518.0","PG-13","2003-07-18",100,"5.6","Mandy Moore","8473","Sarah Dessen",2003,95
"1102","How to Lose a Guy in 10 Days",5e+07,"Lynda Obst Productions","USA","Donald Petrie","Comedy","105813373.0","PG-13","2003-02-07",116,"6.4","Kate Hudson","172078","Michele Alexander",2003,357
"1103","How to Lose Friends & Alienate People",2.7e+07,"Number 9 Films","UK","Robert B. Weide","Biography","2778752.0","R","2008-10-03",110,"6.5","Simon Pegg","63297","Peter Straughan",2008,98
"1104","How to Train Your Dragon",1.65e+08,"DreamWorks Animation","USA","Dean DeBlois","Animation","217581231.0","PG","2010-03-26",98,"8.1","Jay Baruchel","538360","William Davies",2010,492
"1105","How to Train Your Dragon 2",1.45e+08,"DreamWorks Animation","USA","Dean DeBlois","Animation","177002924.0","PG","2014-06-13",102,"7.8","Jay Baruchel","243596","Dean DeBlois",2014,343
"1106","Howard the Duck",3.5e+07,"Universal Pictures","USA","Willard Huyck","Action","16295774.0","PG","1986-08-01",110,"4.6","Lea Thompson","36020","Steve Gerber",1986,269
"1107","Hudson Hawk",6.5e+07,"TriStar Pictures","USA","Michael Lehmann","Action","17218080.0","R","1991-05-24",100,"5.8","Bruce Willis","45642","Bruce Willis",1991,249
"1108","Hugo",1.5e+08,"Paramount Pictures","USA","Martin Scorsese","Adventure","73864507.0","PG","2011-11-23",126,"7.5","Asa Butterfield","264187","John Logan",2011,678
"1109","Hulk",1.37e+08,"Universal Pictures","USA","Ang Lee","Action","132177234.0","PG-13","2003-06-20",138,"5.7","Eric Bana","223943","Stan Lee",2003,1445
"1110","Hustle & Flow",8e+06,"Crunk Pictures","USA","Craig Brewer","Crime","22201636.0","R","2005-07-22",116,"7.4","Terrence Howard","34921","Craig Brewer",2005,206
"1111","I Am Legend",1.5e+08,"Warner Bros.","USA","Francis Lawrence","Drama","256386216.0","PG-13","2007-12-14",101,"7.2","Will Smith","579646","Mark Protosevich",2007,1413
"1112","I Am Number Four",6e+07,"DreamWorks","USA","D.J. Caruso","Action","55100437.0","PG-13","2011-02-18",109,"6.1","Alex Pettyfer","205616","Alfred Gough",2011,329
"1113","I Am Sam",2.2e+07,"New Line Cinema","USA","Jessie Nelson","Drama","40311852.0","PG-13","2002-01-25",132,"7.6","Sean Penn","128721","Kristine Johnson",2001,431
"1114","I Can Do Bad All by Myself",1.3e+07,"Tyler Perry Company, The","USA","Tyler Perry","Comedy","51733921.0","PG-13","2009-09-11",100,"4.2","Tyler Perry","8640","Tyler Perry",2009,59
"1115","I Dreamed of Africa",5e+07,"Columbia Pictures Corporation","USA","Hugh Hudson","Adventure","6543194.0","PG-13","2000-05-05",114,"5.6","Kim Basinger","3933","Kuki Gallmann",2000,61
"1116","I Heart Huckabees",2.2e+07,"Fox Searchlight Pictures","USA","David O. Russell","Comedy","12784713.0","R","2004-10-22",107,"6.7","Jason Schwartzman","58556","David O. Russell",2004,381
"1117","I Know What You Did Last Summer",1.7e+07,"Mandalay Entertainment","USA","Jim Gillespie","Horror","72586134.0","R","1997-10-17",101,"5.6","Jennifer Love Hewitt","112994","Lois Duncan",1997,419
"1118","I Love You, Beth Cooper",1.8e+07,"Fox Atomic","Canada","Chris Columbus","Comedy","14793904.0","PG-13","2009-07-10",102,"5.3","Hayden Panettiere","29845","Larry Doyle",2009,80
"1119","I Love You, Man",4e+07,"DreamWorks","USA","John Hamburg","Comedy","71440011.0","R","2009-03-20",105,"7.0","Paul Rudd","174712","John Hamburg",2009,215
"1120","I Spit on Your Grave",2e+06,"Cinetel Films","USA","Steven R. Monroe","Crime","93051.0","R","2011-03-04",108,"6.3","Sarah Butler","61717","Adam Rockoff",2010,209
"1121","I Spy",7e+07,"Columbia Pictures Corporation","USA","Betty Thomas","Action","33105600.0","PG-13","2002-11-01",97,"5.4","Eddie Murphy","43883","Morton S. Fine",2002,141
"1122","I Still Know What You Did Last Summer",2.4e+07,"Columbia Pictures","USA","Danny Cannon","Horror","40002112.0","R","1998-11-13",100,"4.6","Jennifer Love Hewitt","58906","Lois Duncan",1998,418
"1123","I, Frankenstein",6.5e+07,"Hopscotch Features","USA","Stuart Beattie","Action","19075290.0","PG-13","2014-01-24",92,"5.1","Aaron Eckhart","70705","Stuart Beattie",2014,194
"1124","I, Robot",1.2e+08,"Twentieth Century Fox Film Corporation","USA","Alex Proyas","Action","144801023.0","PG-13","2004-07-16",115,"7.1","Will Smith","423244","Jeff Vintar",2004,789
"1125","Ice Age",5.9e+07,"Twentieth Century Fox Film Corporation","USA","Chris Wedge","Animation","176387405.0","PG","2002-03-15",81,"7.6","Denis Leary","357258","Michael J. Wilson",2002,467
"1126","Ice Age: Continental Drift",9.5e+07,"Blue Sky Studios","USA","Steve Martino","Animation","161321843.0","PG","2012-07-13",88,"6.6","Ray Romano","158545","Michael Berg",2012,139
"1127","Ice Age: Dawn of the Dinosaurs",9e+07,"Twentieth Century Fox Animation","USA","Carlos Saldanha","Animation","196573705.0","PG","2009-07-01",94,"7.0","Ray Romano","182575","Peter Ackerman",2009,132
"1128","Ice Age: The Meltdown",8e+07,"Twentieth Century Fox Animation","USA","Carlos Saldanha","Animation","195330621.0","PG","2006-03-31",91,"6.9","Ray Romano","211943","Peter Gaulke",2006,253
"1129","Identity",3e+07,"Columbia Pictures Corporation","USA","James Mangold","Mystery","52159536.0","R","2003-04-25",90,"7.3","John Cusack","192146","Michael Cooney",2003,714
"1130","Identity Thief",3.5e+07,"Aggregate Films","USA","Seth Gordon","Comedy","134506920.0","R","2013-02-08",111,"5.7","Jason Bateman","105070","Craig Mazin",2013,232
"1131","Idle Hands",2.5e+07,"Columbia Pictures Corporation","USA","Rodman Flender","Comedy","4002955.0","R","1999-04-30",92,"6.2","Devon Sawa","35197","Terri Hughes",1999,198
"1132","If I Stay",1.1e+07,"DiNovi Pictures","USA","R.J. Cutler","Drama","50474843.0","PG-13","2014-08-22",107,"6.8","Chloë Grace Moretz","95609","Shauna Cross",2014,132
"1133","Igby Goes Down",9e+06,"United Artists","USA","Burr Steers","Comedy","4681503.0","R","2002-10-04",98,"7.0","Kieran Culkin","29911","Burr Steers",2002,238
"1134","Imagine Me & You",7900000,"BBC Films","UK","Ol Parker","Comedy","671240.0","R","2006-05-25",90,"6.8","Piper Perabo","25074","Ol Parker",2005,149
"1135","Immortals",7.5e+07,"Relativity Media","USA","Tarsem Singh","Action","83504017.0","R","2011-11-11",110,"6.0","Henry Cavill","144952","Charley Parlapanides",2011,405
"1136","Impostor",4e+07,"Dimension Films","USA","Gary Fleder","Drama","6114237.0","R","2002-01-04",95,"6.2","Shane Brolly","20767","Philip K. Dick",2001,207
"1137","In & Out",3.5e+07,"Paramount Pictures","USA","Frank Oz","Comedy","63856929.0","PG-13","1997-09-19",90,"6.3","Kevin Kline","33955","Paul Rudnick",1997,138
"1138","In Bruges",1.5e+07,"Blueprint Pictures","UK","Martin McDonagh","Comedy","7757130.0","R","2008-02-29",107,"7.9","Colin Farrell","328223","Martin McDonagh",2008,513
"1139","In Dreams",3e+07,"Amblin Entertainment","USA","Neil Jordan","Drama","12017369.0","R","1999-01-15",100,"5.5","Annette Bening","11323","Bari Wood",1999,148
"1140","In Good Company",2.6e+07,"Not specified","USA","Paul Weitz","Comedy","45489752.0","PG-13","2005-01-14",100,"6.5","Dennis Quaid","50314","Paul Weitz",2004,214
"1141","In the Bedroom",1700000,"Good Machine","USA","Todd Field","Crime","35930604.0","R","2002-02-08",130,"7.5","Tom Wilkinson","33720","Robert Festinger",2001,510
"1142","In the Company of Men",25000,"Alliance Atlantis Communications","Canada","Neil LaBute","Comedy","2856622.0","R","1997-08-01",97,"7.3","Aaron Eckhart","11992","Neil LaBute",1997,197
"1143","In the Cut",1.2e+07,"Pathe Productions","UK","Jane Campion","Mystery","4750602.0","R","2003-10-31",119,"5.3","Meg Ryan","19446","Jane Campion",2003,354
"1144","In the Heart of the Sea",1e+08,"Warner Bros.","USA","Ron Howard","Action","25020758.0","PG-13","2015-12-11",122,"6.9","Chris Hemsworth","94603","Charles Leavitt",2015,161
"1145","In the Land of Blood and Honey",1.3e+07,"GK Films","USA","Angelina Jolie","Drama","303877.0","R","2012-02-16",100,"4.4","Zana Marjanovic","32055","Angelina Jolie",2011,180
